Id,Discipline
130,Geology
130,Statistics
130,Transport Planning
131,Analytics
131,Civil
131,Economics
131,Geology
131,Statistics
131,Transport Planning
132,Analytics
132,Data Science
132,Maths
132,Statistics
133,Analytics
133,Data Science
133,Maths
133,Statistics
134,Analytics
134,Data Science
134,Finance
134,Maths
134,Statistics
135,Aerospace
135,Automotive
135,Civil
135,Electrical
135,Electronic
135,Maths
135,Mechanical
135,Process
135,Statistics
136,Computer Science
136,Data Science
136,Electronic
136,Maths
136,Physics
136,Software
136,Statistics
137,Analytics
137,Computer Science
137,Data Science
137,Statistics
138,Computer Science
138,Data Science
138,Maths
138,Physics
138,Robotics
138,Statistics
139,Analytics
139,Computer Science
139,Data Science
139,Information Technology
139,Maths
139,Physics
139,Statistics
140,Analytics
140,Business
140,Economics
140,Finance
140,Maths
140,Statistics
141,Analytics
141,Business
141,Data Science
141,Economics
141,Finance
141,Maths
141,Statistics
142,Analytics
142,Business
142,Data Science
142,Economics
142,Finance
142,Hardware
142,Information Technology
142,Maths
142,Statistics
143,Analytics
143,Business
143,Data Science
143,Economics
143,Finance
143,Hardware
143,Information Technology
143,Maths
143,Statistics
144,Analytics
144,Business
144,Data Science
144,Economics
144,Finance
144,Hardware
144,Information Technology
144,Maths
144,Statistics
145,Analytics
145,Data Science
145,Finance
145,Maths
145,Statistics
146,Analytics
146,Business
146,Data Science
146,Information Technology
146,Maths
146,Software
146,Statistics
147,Chemical
147,Chemistry
149,Chemical
149,Chemistry
